,Название,Код,Цена,Рейтинг,Срок(месяца),Величина купона(-13%),Номинал,Выплат в год,Доходность(год),Доходность(все время),Доходность(% в год),Ссылка
0,Ferroni выпуск 1,RU000A103XP8,837.0,Низкий,21.0,9.22,1000.0,12.0,110.64,9.22,13.22,https://www.tinkoff.ru/invest/bonds/RU000A103XP8/
1,Роснано выпуск 8,RU000A1008V9,861.8,Средний,51.0,58.2,1000.0,2.0,116.4,1455.0,13.51,https://www.tinkoff.ru/invest/bonds/RU000A1008V9/
2,Руссойл БО-01,RU000A1074E7,976.2,Низкий,33.0,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A1074E7/
3,СПМК БО-02,RU000A106FN3,948.7,Низкий,41.0,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A106FN3/
4,ВТБ СУБ выпуск 1,RU000A102QJ7,7587442.5,Средний,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A102QJ7/
5,М.Видео выпуск 4,RU000A106540,833.4,23.04.2025,27.0,28.27,1000.0,4.0,113.08,169.62,13.57,https://www.tinkoff.ru/invest/bonds/RU000A106540/
6,ВТБ СУБ выпуск 5,RU000A1034P7,6330000.0,Средний,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A1034P7/
7,Alfa Bank,RU000A100GW5,7900000.0,Средний,,,,,,,,https://www.tinkoff.ru/invest/bonds/RU000A100GW5/
8,М.Видео выпуск 3,RU000A104ZK2,818.6,Низкий,18.0,26.71,1000.0,4.0,106.84,106.84,13.05,https://www.tinkoff.ru/invest/bonds/RU000A104ZK2/
9,Сегежа Групп 003P-02R,RU000A105SP3,826.7,07.05.2025,168.0,22.97,1000.0,4.0,91.88,964.74,11.11,https://www.tinkoff.ru/invest/bonds/RU000A105SP3/
10,Сегежа 002P выпуск 1,RU000A1041B2,875.9,18.11.2024,154.0,42.72,1000.0,2.0,85.44,3289.44,9.75,https://www.tinkoff.ru/invest/bonds/RU000A1041B2/
11,Сегежа 002P выпуск 5,RU000A1053P7,758.0,Средний,163.0,46.11,1000.0,2.0,92.22,3734.91,12.17,https://www.tinkoff.ru/invest/bonds/RU000A1053P7/
